N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
FLORELLI | LEGUMES | BASILIC | POT | NON_BIO,2,2.0,0,60171.59999999999,86127.7
AUT_MQ | LEGUMES | LEG_GRILLE | POT | NON_BIO,3,3.0,0,60049.69999999998,62948.6
PANZANI | LEGUMES | NAPOLITAIN | POT | NON_BIO,1,1.0,0,59896.0,299662.7
MQ_FAB_1_PRX | LEGUMES | NATURE | BTE_FER | NON_BIO,1,1.0,0,59301.00000000001,64071.4
AUT_MQ | SCE_CLAS | BARBECUE_TERIYAKI_AU_MIEL | POT | NON_BIO,1,1.0,0,57065.9,63614.3
AUT_MQ | SCE_CLAS | NANTUA_AUX_ECREVISSES | POT | NON_BIO,1,1.0,0,55929.49999999999,56627.50000000001
ITALIANS_DO_IT_BETTER | LEGUMES | TOM_PIMENT | POT | NON_BIO,1,1.0,0,55605.60000000001,0.0
DE_CECCO | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,2,2.0,0,54191.79999999999,57688.2
AUT_MQ | SCE_CLAS | BEURRE_BLANC_&_CITRON_CONFIT | DOSE | NON_BIO,1,1.0,0,52713.1,34313.7
JARDIN_BIO | BIO | DUO_D'OLIVES_VERTES_&_NOIRES | POT | BIO,1,1.0,0,51889.60000000001,0.0
ITALIANS_DO_IT_BETTER | SCE_CLAS | PESTO_AL_LIMONE_BASILIC_&_ZEST | POT | NON_BIO,1,1.0,0,51412.60000000001,0.0
AUT_MQ | PESTO | BASILIC | POT | NON_BIO,1,1.0,0,51174.4,50552.5
JARDIN_BIO | SCE_CLAS | CURRY_AU_LAIT_DE_COCO | POT | BIO,1,1.0,0,50206.5,0.0
AUT_MQ | SCE_CLAS | AJVAR_CLASSIQUE | POT | NON_BIO,1,1.0,0,50072.6,39597.0
AUT_MQ | PESTO | PESTO_A_LA_TRUFFE | POT | NON_BIO,1,1.0,0,49945.4,32190.200000000008
FLORELLI | LEGUMES | OLIVE | POT | NON_BIO,1,1.0,0,48260.2,42923.2
